Game Name,TA,GS,TAD,Num,Time,Score
White Day: A Labyrinth Named School,3954,1000,2954,42,60.0,2067.8
Whispike Survivors: Sword of the Necromancer,1542,1000,542,23,5.0,2493.2
Whispering Willows,1108,1000,108,19,1.0,2052.0
Whisper Trip,2875,1000,1875,18,11.0,3068.181818181818
Whiskey Mafia: Leo's Family,1006,1000,6,12,0.5,144.0
Whiskey Mafia: Frank's Story,1013,1000,13,11,0.5,286.0
Whiskey & Zombies,2054,1000,1054,21,5.0,4426.8
Whipseey and the Lost Atlas,1955,1000,955,21,3.0,6685.0
While the Iron's Hot,3535,1000,2535,41,20.0,5196.75
While We Wait Here,1224,1000,224,15,2.0,1680.0
Where the Water Tastes Like Wine,2005,1000,1005,37,12.0,3098.75
Where the Snow Settles,1015,1000,15,10,0.5,300.0
Where the Bees Make Honey,1259,1200,59,16,1.0,944.0
Where Are My Friends?,4770,1000,3770,17,22.0,2913.181818181818
When the Past Was Around,1201,1000,201,20,1.0,4020.0
Wheelspin Frenzy,1237,1000,237,11,8.0,325.875
Wheels of Aurelia,1313,1000,313,25,6.0,1304.1666666666667
Wheel of Fortune,1620,1000,620,13,6.0,1343.3333333333333
Whateverland,1761,1000,761,35,15.0,1775.6666666666667
What the Dub?!,2301,1000,1301,30,4.0,9757.5
What the Box?,1592,1000,592,13,2.0,3848.0
What Remains of Edith Finch,1179,1000,179,10,2.0,895.0
What Lies in the Multiverse,2176,1000,1176,42,12.0,4116.0
What Comes After,1093,1000,93,12,0.5,2232.0
Westild's Law,1209,1000,209,16,1.0,3344.0
Western Press,1161,1000,161,23,1.0,3703.0
Westerado: Double Barreled,5755,1000,4755,79,15.0,25043.0
West of Dead,5665,1000,4665,22,20.0,5131.5
West Escape,1419,1000,419,33,32.0,432.09375
Werewolf: The Apocalypse - Heart of the Forest,1376,1000,376,38,5.0,2857.6
Werewolf: The Apocalypse - Earthblood (Xbox One),2063,1000,1063,43,15.0,3047.266666666667
Werewolf Pinball,1771,1000,771,15,1.0,11565.0
Wer weiß denn sowas? - Das Spiel,1522,1000,522,37,10.0,1931.4
