Name,Base TA,Overall TA,Base GS,Overall GS,Base Ratio,Overall Ratio,Base Time,Overall Time,Max Time,Site Rating,Num Gamers,Base Num Achievements,Overall Num Achievements,Base SSD,Base TAD Rate,Overall SSD Rate,Overall TAD Rate,Developer(s),Publisher(s),is 360?,BCMX Value,PDU,Server Closure,Delisted,Install Size
Railway Empire 2,5212,5886,1030,1145,5.060194174757282,5.14061135371179,70.25,70.0,80.0,3.65,27349,58,61,2065.5833333333335,59.530249110320284,31.21785714285714,67.72857142857143,Gaming Minds,Kalypso Media,False,932.4212092828515,0,False,False,19420.0
RESEARCH and DESTROY,6241,6241,1000,1000,6.241,6.241,17.5,17.5,20.0,3.15,22298,45,45,1949.933333333333,299.48571428571427,111.42476190476188,299.48571428571427,Implausible Industries,Spike Chunsoft,False,311.8252430583515,0,False,False,2780.0
RAGE 2,3714,4832,1045,1435,3.554066985645933,3.367247386759582,41.0,47.0,52.0,3.57,162586,61,65,1399.6888888888889,65.09756097560975,31.184869976359337,72.27659574468085,"Avalanche Studios, id Software",Bethesda Softworks,False,321.30381372222473,0,False,False,46590.0
RAGE,2341,3045,1000,1250,2.341,2.436,22.5,36.0,40.0,3.8,172461,52,60,583.5,59.6,19.905291005291005,49.861111111111114,id Software,Bethesda Softworks,True,301.84593202758253,0,False,False,21200.0
Quantum Break,1612,1612,1000,1000,1.612,1.612,17.5,17.5,20.0,4.14,300828,42,42,244.5,34.97142857142857,13.971428571428572,34.97142857142857,"Remedy Entertainment, Asobo Studio",Xbox Game Studios,False,40.93337478390953,0,False,False,102560.0
Quake II,1804,1804,1000,1000,1.804,1.804,1.5,1.5,2.0,3.93,27485,13,13,91.14999999999999,536.0,60.76666666666666,536.0,"id Software, MachineGames, Nightdive Studios",Bethesda Softworks,False,4.846015461799519,0,False,False,4520.0
Quake,4523,4523,1000,1000,4.523,4.523,2.5,2.5,3.0,3.88,94706,35,35,1098.829457364341,1409.2,439.5317829457364,1409.2,"MachineGames, Nightdive Studios, id Software",Bethesda Softworks,False,28.857661599703462,0,False,False,1270.0
Psychonauts 2,1973,1973,1000,1000,1.973,1.973,27.5,27.5,30.0,4.49,174028,57,57,499.1428571428572,35.38181818181818,18.150649350649353,35.38181818181818,Double Fine,Xbox Game Studios,False,83.14035653820594,0,False,False,30240.0
Prey,3660,4394,1000,1195,3.66,3.6769874476987447,45.0,62.5,70.0,4.13,170427,56,58,1212.7777777777778,59.111111111111114,20.359111111111112,51.184,Arkane Studios,Bethesda Softworks,False,493.5558012473859,0,False,False,36900.0
PowerWash Simulator,2838,4212,1000,1540,2.838,2.735064935064935,45.0,58.0,65.0,3.94,286537,54,70,876.9,40.84444444444444,19.366091954022988,46.06896551724138,Futurlab,Square Enix,False,294.01183942029644,0,False,False,8320.0
