Game Name,Overall Completion Time,Overall Ratio,Install Size (MB)
Mad Streets,1.0-2.0,1.657,4040.0
Human Fall Flat,16.0-27.0,4.75561797752809,4030.0000000000005
State of Decay: Year-One,93.0-120.0,2.7413333333333334,3920.0
Botany Manor,2.0-3.0,1.308,3890.0
The Bard's Tale ARPG : Remastered and Resnarkled,2.0-3.0,1.905,3810.0
House Flipper,37.0-49.5,3.7671641791044777,3740.0
Genesis Noir,3.0-4.5,1.3785123966942148,3700.0
SSX,35.0-40.0,5.777,3680.0
Thirsty Suitors,10.0-12.0,2.493,3630.0
Dordogne,3.0-4.0,1.738,3510.0
Frostpunk: Console Edition,170.0-225.0,5.818705035971223,3500.0
Deep Rock Galactic,300.0-500.0,4.415,3480.0
"Rolling Hills: Make Sushi, Make Friends",12.0-15.0,1.842,3440.0
Octopath Traveler,100.0-120.0,6.135,3420.0
This War of Mine: Final Cut,35.0-45.0,4.488888888888889,3390.0
Unravel Two,25.0-30.0,13.49,3340.0
Botany Manor (Windows),1.0-2.5,1.2401785714285714,3300.0
Solar Ash,15.0-20.0,3.365,3270.0
Slayers X: Terminal Aftermath: Vengance of the Slayer,6.0-8.0,2.539,3180.0
Unravel,12.0-15.0,3.093,3090.0
TUNIC,15.0-20.0,2.896,3080.0
Wasteland Remastered,25.0-30.0,3.579,3020.0
Astroneer,62.0-83.0,3.655813953488372,3000.0
Overcooked! 2,21.0-28.0,2.8066666666666666,3000.0
Max: The Curse of Brotherhood,8.0-10.0,1.865,2960.0
The Rewinder,4.0-6.0,1.8245,2930.0
Lightyear Frontier,16.0-20.0,3.7777142857142856,2900.0
Cocoon,4.0-5.0,1.455,2900.0
Flock,12.0-15.0,3.029,2840.0
Shady Part of Me,6.0-8.0,2.407,2810.0
SteamWorld Build,25.0-30.0,2.752,2720.0
PAW Patrol: Mighty Pups Save Adventure Bay,3.0-4.0,1.521,2680.0
Day of the Tentacle Remastered,2.0-3.0,1.411,2670.0
SUPERHOT: MIND CONTROL DELETE,10.0-12.0,2.287,2560.0
Peggle 2,17.0-24.0,2.4586206896551723,2550.0
Rise of Nations: Extended Edition (Windows),60.0-80.0,5.177,2520.0
Halo: Spartan Assault,20.0-25.0,3.732,2470.0
Shadowrun: Hong Kong - Extended Edition,35.0-40.0,3.085,2460.0
My Friend Peppa Pig,0.5-1.0,1.262,2420.0
Fe,12.0-15.0,2.985,2380.0
The Walking Dead: Michonne,3.0-6.0,1.049,2370.0
Broken Age,8.0-10.0,3.386,2340.0
INSIDE,3.0-4.0,1.441,2330.0
Shadowrun: Dragonfall - Director's Cut,40.0-50.0,3.145,2330.0
Have a Nice Death,60.0-80.0,8.942,2300.0
Iron Brigade,12.0-15.0,2.336,2110.0
Gang Beasts,1.0-2.0,1.927,1990.0
Ben 10: Power Trip,15.0-20.0,3.378,1950.0
Contrast,3.0-4.0,1.557,1940.0
Shadowrun Returns,20.0-25.0,2.695,1920.0
Citizen Sleeper 2: Starward Vector,15.0-20.0,2.124,1880.0
Minecraft,31.0-44.0,2.4345762711864407,1830.0
Clone Drone in the Danger Zone,41.5-53.5,5.7875,1820.0
The Case of the Golden Idol,0.5-2.0,1.3785185185185185,1820.0
Moving Out 2,15.0-20.0,3.666,1800.0
"Little Kitty, Big City",5.0-6.0,1.67,1740.0
Dead Space: Ignition,3.0-4.0,1.75,1640.0
Goat Simulator,12.0-17.0,2.502315789473684,1640.0
PlateUp!,0.0-0.5,3.308,1620.0
Citizen Sleeper,8.0-10.0,1.956,1530.0
Keplerth (Windows),161.0-162.0,5.082,1530.0
Turnip Boy Robs a Bank,5.0-6.0,1.66,1480.0
Sea of Solitude,5.0-6.0,1.971,1430.0
The Bard's Tale Trilogy,40.0-50.0,5.819,1400.0
Moonlighter,25.0-30.0,4.284,1370.0
Stardew Valley,165.0-220.0,4.646,1300.0
DOOM + DOOM II,3.0-4.0,2.465,1300.0
Quake,1.0-2.0,4.332,1270.0
Magical Delicacy,25.0-30.0,3.496,1240.0
Firework (Windows),3.0-4.0,1.302,1230.0
Metal Slug Tactics,102.0-103.0,11.252,1220.0
Hauntii,15.0-20.0,3.41,1190.0
Teenage Mutant Ninja Turtles: Shredder's Revenge,15.0-20.0,2.75,1160.0
Among Us,10.0-13.0,3.05,1140.0
Halo: Spartan Strike (Windows),10.0-12.0,2.245,1120.0
Costume Quest 2,8.0-10.0,1.408,1110.0
Wildfrost,35.0-40.0,3.408,1070.0
Cassette Beasts,40.0-50.0,3.608,1060.0
