Game Name,Minimum Completion Time,Install Size (MB),Install Size Per Hour
Yakuza 6: The Song of Life,50.0,35760.0,715.2
Yakuza 5 Remastered (Windows),150.0,31590.0,210.6
Yakuza 5 Remastered,150.0,37530.0,250.2
Yakuza 4 Remastered (Windows),60.0,38960.0,649.3333333333334
Yakuza 4 Remastered,60.0,24900.0,415.0
Yakuza 3 Remastered (Windows),60.0,25350.0,422.5
Yakuza 3 Remastered,80.0,17870.0,223.375
Yakuza 0 (Windows),150.0,31060.0,207.06666666666666
Yakuza 0,150.0,26210.0,174.73333333333332
Yaga,29.0,1630.0,56.206896551724135
YIIK: A Postmodern RPG (Windows),30.0,4059.9999999999995,135.33333333333331
YAIBA: Ninja Gaiden Z,25.0,5280.0,211.2
Xuan Yuan Sword: The Gate of Firmament (CN),119.0,14930.0,125.46218487394958
Xuan Yuan Sword: The Gate of Firmament,100.0,15940.0,159.4
Xuan Yuan Sword 7 (Asian),19.0,18630.0,980.5263157894736
Xuan Yuan Sword 7,15.0,18000.0,1200.0
Xevious,5.0,18.0,3.6
Xenoraid,25.0,195.0,7.8
Xenon Valkyrie+,1.0,190.0,190.0
Xenon Racer,12.0,7140.0,595.0
Xeno Crisis,8.0,458.0,57.25
Xbox Fitness,335.0,442.0,1.319402985074627
Xatrom Command,0.25,697.0,2788.0
XIII,8.0,14460.0,1807.5
XEL,21.0,11300.0,538.0952380952381
XDefiant,25.0,51990.0,2079.6
XCOM: Enemy Within,30.0,7670.0,255.66666666666666
XCOM: Enemy Unknown,80.0,7080.0,88.5
XCOM 2,150.0,20950.0,139.66666666666666
X-Morph: Defense,36.0,4910.0,136.38888888888889
X-Men: The Official Game,10.0,6250.0,625.0
X-Men: Destiny,12.0,7370.0,614.1666666666666
X-Men Origins: Wolverine,15.0,6420.0,428.0
X-Men Arcade,2.0,44.0,22.0
X-Force Under Attack,1.0,1022.0,1022.0
X-Force Genesis (Windows),1.0,1730.0,1730.0
X-Force Genesis,2.0,513.0,256.5
X-Blades,6.0,2060.0,343.3333333333333
Wytchwood,15.0,2640.0,176.0
Wuppo,50.0,655.0,13.1
Wunderling,8.0,531.0,66.375
Wulverblade,23.0,3630.0,157.82608695652175
WrestleQuest,130.0,3650.0,28.076923076923077
Wreckfest (Windows),15.0,26820.0,1788.0
Wreckfest,20.0,22020.0,1101.0
Wrecked: Revenge Revisited,6.0,879.0,146.5
Wreckateer,12.0,1660.0,138.33333333333334
Woven the Game,5.0,2960.0,592.0
Worse Than Death,6.0,666.0,111.0
Worms: Ultimate Mayhem,8.0,832.0,104.0
Worms: Revolution,20.0,478.0,23.9
Worms W.M.D.,40.0,6360.0,159.0
Worms Rumble,120.0,10630.0,88.58333333333333
Worms Battlegrounds,25.0,1880.0,75.2
Worms Armageddon: Anniversary Edition,39.0,2690.0,68.97435897435898
Worms 2: Armageddon,20.0,177.0,8.85
Worms,8.0,43.0,5.375
Worldless,28.0,2580.0,92.14285714285714
World to the West,20.0,2210.0,110.5
World of Warships: Legends,200.0,14880.0,74.4
