Game Name,Minimum Completion Time,Number of Achievements,TAD,Achievements per Hour,TAD per Hour
Ultimate General: Gettysburg,27.0,23,1170,0.8518518518518519,43.333333333333336
Ultimate Fishing Simulator,354.0,65,3360,0.18361581920903955,9.491525423728813
Ultimate Custom Night,69.0,10,5978,0.14492753623188406,86.6376811594203
Ultimate Chicken Horse,8.0,31,1377,3.875,172.125
UglyDolls: An Imperfect Adventure,5.0,30,286,6.0,57.2
Ugly Americans: Apocalypsegeddon,6.0,12,108,2.0,18.0
Ugly,11.0,52,901,4.7272727272727275,81.9090909090909
Ufouria: The Saga 2,12.0,15,716,1.25,59.666666666666664
UNSIGHTED,40.0,42,5133,1.05,128.325
UNO Rush,2.0,12,99,6.0,49.5
UNO (Xbox 360),4.0,12,63,3.0,15.75
UNO & Friends (Windows),100.0,20,216,0.2,2.16
UNO,6.0,12,928,2.0,154.66666666666666
UNDER DEFEAT,13.0,37,1618,2.8461538461538463,124.46153846153847
UNABLES,1.0,15,1076,15.0,1076.0
UFO Robot Grendizer: The Feast of the Wolves,10.0,30,743,3.0,74.3
UFL,100.0,25,4046,0.25,40.46
UDO - Unidentified Drilling Object,2.0,23,586,11.5,293.0
Typoman: Revised,10.0,20,1307,2.0,130.7
Tyler: Model 005,4.0,11,1049,2.75,262.25
Tyd wag vir Niemand,6.0,14,1148,2.3333333333333335,191.33333333333334
Ty the Tasmanian Tiger (Windows),20.0,20,344,1.0,17.2
Two Worlds II,65.0,56,1743,0.8615384615384616,26.815384615384616
Two Worlds,30.0,41,886,1.3666666666666667,29.533333333333335
Two Point Hospital (Windows),332.0,61,7602,0.18373493975903615,22.897590361445783
Two Point Hospital,204.0,45,7545,0.22058823529411764,36.98529411764706
Two Point Campus,58.0,48,3161,0.8275862068965517,54.5
Two Parsecs From Earth,2.0,17,362,8.5,181.0
Two Hundred Ways,15.0,37,1083,2.466666666666667,72.2
TwinCop,13.0,24,1309,1.8461538461538463,100.6923076923077
Twin Robots: Ultimate Edition,1.0,19,93,19.0,93.0
Twin Mirror,10.0,24,775,2.4,77.5
Twin Breaker: A Sacred Symbols Adventure,10.0,46,1359,4.6,135.9
Twice Reborn: A Vampire Visual Novel,0.25,12,8,48.0,32.0
Twelve Minutes,2.0,12,699,6.0,349.5
Tux and Fanny,17.0,31,1516,1.8235294117647058,89.17647058823529
Turtle's Quest (Windows),1.0,11,122,11.0,122.0
Turret Rampage,0.25,22,168,88.0,672.0
Turok: Escape from Lost Valley,34.0,14,2000,0.4117647058823529,58.8235294117647
Turok 3: Shadow of Oblivion Remastered,10.0,35,695,3.5,69.5
Turok 2: Seeds of Evil,20.0,14,1055,0.7,52.75
Turok (2008),40.0,43,2059,1.075,51.475
Turok,8.0,10,825,1.25,103.125
Turnip Boy Robs a Bank,5.0,23,660,4.6,132.0
Turnip Boy Commits Tax Evasion,2.0,37,391,18.5,195.5
Turning Point: Fall of Liberty (CA/DE/FR),20.0,39,995,1.95,49.75
Turning Point: Fall of Liberty,20.0,39,1701,1.95,85.05
TurnOn,6.0,82,188,13.666666666666666,31.333333333333332
Turn to Mine (Xbox One),0.5,13,495,26.0,990.0
Turn to Mine (Windows),0.5,13,122,26.0,244.0
Turn to Mine,0.5,13,594,26.0,1188.0
Turbo: Super Stunt Squad,15.0,25,1809,1.6666666666666667,120.6
Turbo Golf Racing,35.0,30,3872,0.8571428571428571,110.62857142857143
Turbo Dash Kart 2024 Racing,4.0,10,59,2.5,14.75
Tunnel of Doom,12.0,10,2377,0.8333333333333334,198.08333333333334
Tunche,44.0,26,2945,0.5909090909090909,66.93181818181819
Tumblestone,61.0,28,4389,0.45901639344262296,71.95081967213115
Trüberbrook,3.0,34,407,11.333333333333334,135.66666666666666
Truth or Lies,1.0,28,56,28.0,56.0
Truth,1.0,10,126,10.0,126.0
Trulon: The Shadow Engine,15.0,15,1032,1.0,68.8
True Virus,0.5,10,87,20.0,174.0
